frequency,period,year,announcementDate,auditedNAVPerUnit,declaredDPU,link
Quarter,Q1,2016,2017-01-25,8.49,0.33,https://bit.ly/2JKv9GW
Quarter,Q2,2016,2017-03-25,8.49,0.33,https://bit.ly/2JKv9GW
Quarter,Q3,2016,2017-06-25,8.49,0.33,https://bit.ly/2JKv9GW
Quarter,Q4,2016,2017-08-25,8.49,0.33,https://bit.ly/2JKv9GW
Quarter,Q1,2017,2018-01-06,9.03,0.265,https://bit.ly/2JKv9GW
Quarter,Q2,2017,2018-03-06,9.03,0.265,https://bit.ly/2JKv9GW
Quarter,Q3,2017,2018-06-06,9.03,0.265,https://bit.ly/2JKv9GW
Quarter,Q4,2017,2018-06-06,9.03,0.265,https://bit.ly/2JKv9GW
Quarter,Q1,2018,2019-01-29,9.4,0.132,https://bit.ly/2JKv9GW
Quarter,Q2,2018,2019-03-29,9.4,0.132,https://bit.ly/2JKv9GW
Quarter,Q3,2018,2019-06-29,9.4,0.132,https://bit.ly/2JKv9GW
Quarter,Q4,2018,2019-08-29,9.4,0.132,https://bit.ly/2JKv9GW
