frequency,period,year,announcementDate,auditedNAVPerUnit,declaredDPU,link
Quarter,Q1,2016,2017-01-25,1.38,0.0862,https://bit.ly/2JKv9GW
Quarter,Q2,2016,2017-03-25,1.38,0.0862,https://bit.ly/2JKv9GW
Quarter,Q3,2016,2017-06-25,1.38,0.0862,https://bit.ly/2JKv9GW
Quarter,Q4,2016,2017-09-25,1.38,0.0862,https://bit.ly/2JKv9GW
Quarter,Q1,2017,2018-01-06,1.49,0.0904,https://bit.ly/2JKv9GW
Quarter,Q2,2017,2018-03-06,1.49,0.0904,https://bit.ly/2JKv9GW
Quarter,Q3,2017,2018-06-06,1.49,0.0904,https://bit.ly/2JKv9GW
Quarter,Q4,2017,2018-09-06,1.49,0.0904,https://bit.ly/2JKv9GW
Quarter,Q1,2018,2019-01-29,1.6,0.0231,https://bit.ly/2JKv9GW
Quarter,Q2,2018,2019-03-29,1.6,0.0231,https://bit.ly/2JKv9GW
Quarter,Q3,2018,2019-06-29,1.6,0.0231,https://bit.ly/2JKv9GW
Quarter,Q4,2018,2019-09-29,1.6,0.0231,https://bit.ly/2JKv9GW
